violation_id,inspection_id,violation_category,violation_date,violation_date_closed,violation_type
204851,261019,Garbage and Refuse,2012-01-03 00:00:00,2012-02-02 00:00:00,Refuse Accumulation
204852,261019,Unsanitary Conditions,2012-01-03 00:00:00,2012-02-02 00:00:00,"Unsanitary conditions, not specified"
204853,261023,Garbage and Refuse,2012-01-03 00:00:00,2012-01-17 00:00:00,Refuse Accumulation
204854,261023,Garbage and Refuse,2012-01-03 00:00:00,2012-01-17 00:00:00,Refuse Accumulation
204858,261029,Garbage and Refuse,2012-01-03 00:00:00,2012-03-12 00:00:00,Refuse Accumulation
204859,261029,Animals and Pests,2012-01-03 00:00:00,2012-03-12 00:00:00,"Animals and Pests, not specified"
207746,264687,Animals and Pests,2012-02-08 00:00:00,2012-04-02 00:00:00,"Animals and Pests, not specified"
205869,262387,Garbage and Refuse,2012-01-13 00:00:00,2012-01-17 00:00:00,Refuse Accumulation
207417,264347,Garbage and Refuse,2012-01-11 00:00:00,2012-01-13 00:00:00,Refuse Accumulation
205555,261851,Building Conditions,2012-01-12 00:00:00,2012-01-27 00:00:00,Inadequate Pest Exclusion
205556,261852,Garbage and Refuse,2012-01-10 00:00:00,2012-01-17 00:00:00,Refuse Accumulation
205319,261562,Animals and Pests,2012-01-09 00:00:00,2012-02-06 00:00:00,Animal Feces
205320,261563,Garbage and Refuse,2012-01-09 00:00:00,,Refuse Accumulation
205333,261572,Unsanitary Conditions,2012-01-10 00:00:00,2012-02-13 00:00:00,"Unsanitary conditions, not specified"
205457,261676,Garbage and Refuse,2012-01-10 00:00:00,2012-01-11 00:00:00,Refuse Accumulation
205505,261769,Unsanitary Conditions,2012-01-12 00:00:00,2012-07-11 00:00:00,"Unsanitary conditions, not specified"
205506,261769,Animals and Pests,2012-01-12 00:00:00,2012-07-11 00:00:00,"Rodents, not specified"
207159,263995,Vegetation,2012-02-01 00:00:00,2012-03-16 00:00:00,Overgrown Vegetation
207160,263995,Garbage and Refuse,2012-02-01 00:00:00,2012-03-16 00:00:00,Refuse Accumulation
207276,264177,Unsanitary Conditions,2012-02-06 00:00:00,2012-03-21 00:00:00,"Unsanitary conditions, not specified"
207337,264235,Animals and Pests,2012-02-02 00:00:00,2012-02-02 00:00:00,"Insects, not specified"
206863,263567,Unsanitary Conditions,2012-01-27 00:00:00,,"Unsanitary conditions, not specified"
206883,263605,Garbage and Refuse,2012-01-31 00:00:00,2012-02-21 00:00:00,Refuse Accumulation
208485,265585,Animals and Pests,2012-02-21 00:00:00,2012-03-06 00:00:00,Animal Feces
